catches,catches_p,catches_inan_innings,catches_inan_innings_p,dismissals,dismissals_p,ducks,ducks_p,fifties,fifties_p,fours,fours_p,highest_average,highest_average_p,highest_partnership,highest_partnership_p1,highest_partnership_p2,highest_score,highest_score_p,highest_strikerate,highest_strikerate_p,hundreds,hundreds_p,runs,runs_p,sixes,sixes_p,sixes_inan_innings,sixes_inan_innings_p,wickets,wickets_p,slno,catches_innings,catches_innings_p,dismiss,dismiss_p
114,V Kohli (RCB),5,Mohammad Nabi,190,MS Dhoni (CSK/RPS),18,GJ Maxwell (DC/KXIP/MI/RCB),62,DA Warner (DC/SRH),768,S Dhawan (DC/DCH/MI/PBKS/SRH),69.0,Vivrant Sharma (SRH),229,V Kohli,AB de Villiers,175,CH Gayle,174.92,AD Russell (DC/KKR),8,V Kohli (RCB),8004,V Kohli (RCB),357,CH Gayle (KKR/KXIP/PBKS/RCB),17,CH Gayle,205,YS Chahal (MI/RCB/RR),1,0,,0,
109,SK Raina (CSK/GL),5,DJ Mitchell,174,KD Karthik (DC/GL/KKR/KXIP/MI/RCB),18,KD Karthik (DC/GL/KKR/KXIP/MI/RCB),55,V Kohli (RCB),705,V Kohli (RCB),55.66,MN van Wyk (KKR),215,V Kohli,AB de Villiers,158,BB McCullum,168.3,H Klaasen (RCB/RR/SRH),7,JC Buttler (MI/RR),6769,S Dhawan (DC/DCH/MI/PBKS/SRH),280,RG Sharma (DCH/MI),13,BB McCullum,192,PP Chawla (CSK/KKR/KXIP/MI),2,0,,0,
103,KA Pollard (MI),4,SR Tendulkar,113,WP Saha (CSK/GT/KKR/KXIP/SRH),17,RG Sharma (DCH/MI),51,S Dhawan (DC/DCH/MI/PBKS/SRH),663,DA Warner (DC/SRH),48.63,DP Conway (CSK),210,KL Rahul,Q de Kock,140,Q de Kock,165.83,SP Narine (KKR),6,CH Gayle (KKR/KXIP/PBKS/RCB),6628,RG Sharma (DCH/MI),272,V Kohli (RCB),13,CH Gayle,183,DJ Bravo (CSK/GL/MI),3,0,,0,
101,RA Jadeja (CSK/GL/Kochi/RR),4,DA Warner,95,RR Pant (DC),16,PP Chawla (CSK/KKR/KXIP/MI),43,RG Sharma (DCH/MI),599,RG Sharma (DCH/MI),47.0,B Sai Sudharsan (GT),210,Shubman Gill,B Sai Sudharsan,133,AB de Villiers,162.45,LS Livingstone (PBKS/RR),4,Shubman Gill (GT/KKR),6565,DA Warner (DC/SRH),252,MS Dhoni (CSK/RPS),12,CH Gayle,181,B Kumar (PWI/SRH),4,0,,0,
101,RG Sharma (DCH/MI),4,JH Kallis,90,RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),16,SP Narine (KKR),40,AB de Villiers (DC/RCB),506,SK Raina (CSK/GL),45.46,KL Rahul (KXIP/LSG/PBKS/RCB/SRH),206,SE Marsh,AC Gilchrist,132,KL Rahul,162.29,N Pooran (KXIP/LSG/PBKS/SRH),4,KL Rahul (KXIP/LSG/PBKS/RCB/SRH),5528,SK Raina (CSK/GL),251,AB de Villiers (DC/RCB),12,AB de Villiers,180,SP Narine (KKR),5,0,,0,
99,S Dhawan (DC/DCH/MI/PBKS/SRH),4,R Tewatia,81,Q de Kock (DC/LSG/MI/RCB/SRH),15,Rashid Khan (GT/SRH),39,SK Raina (CSK/GL),492,G Gambhir (DC/KKR),45.25,AC Voges (RR),204,V Kohli,CH Gayle,129,AB de Villiers,158.84,RM Patidar (RCB),4,SR Watson (CSK/RCB/RR),5243,MS Dhoni (CSK/RPS),236,DA Warner (DC/SRH),11,ST Jayasuriya,180,R Ashwin (CSK/DC/KXIP/RPS/RR),6,0,,0,
90,AB de Villiers (DC/RCB),4,DA Miller,81,PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),15,Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),37,KL Rahul (KXIP/LSG/PBKS/RCB/SRH),481,RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),44.38,HM Amla (KXIP),189,DA Warner,NV Ojha,129,Shubman Gill,156.73,GJ Maxwell (DC/KXIP/MI/RCB),4,DA Warner (DC/SRH),5162,AB de Villiers (DC/RCB),223,KA Pollard (MI),11,M Vijay,174,A Mishra (DC/DCH/LSG/SRH),7,0,,0,
86,DA Warner (DC/SRH),4,F du Plessis,75,SV Samson (DC/RR),14,MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),37,F du Plessis (CSK/RCB/RPS),478,AM Rahane (CSK/DC/KKR/MI/RPS/RR),44.0,Iqbal Abdulla (KKR/RCB/RR),185,DA Warner,JM Bairstow,128,CH Gayle,155.44,V Sehwag (DC/KXIP),3,SV Samson (DC/RR),4965,CH Gayle (KKR/KXIP/PBKS/RCB),209,AD Russell (DC/KKR),11,AD Russell,170,SL Malinga (MI),8,0,,0,
83,MK Pandey (DC/KKR/LSG/MI/PWI/RCB/SRH),4,RA Jadeja,75,NV Ojha (DC/RR/SRH),14,AT Rayudu (CSK/MI),36,G Gambhir (DC/KKR),466,KD Karthik (DC/GL/KKR/KXIP/MI/RCB),41.75,RD Gaikwad (CSK),184,CA Lynn,G Gambhir,128,RR Pant,155.24,Abhishek Sharma (DC/SRH),3,AB de Villiers (DC/RCB),4952,RV Uthappa (CSK/KKR/MI/PWI/RCB/RR),206,SV Samson (DC/RR),11,CH Gayle,165,JJ Bumrah (MI),9,0,,0,
81,F du Plessis (CSK/RCB/RPS),4,RK Singh,67,AC Gilchrist (DCH/KXIP),13,Harbhajan Singh (CSK/KKR/MI),31,CH Gayle (KKR/KXIP/PBKS/RCB),421,F du Plessis (CSK/RCB/RPS),41.58,C Green (MI/RCB),183,KL Rahul,MA Agarwal,127,M Vijay,153.07,SO Hetmyer (DC/RCB/RR),2,HM Amla (KXIP),4842,KD Karthik (DC/GL/KKR/KXIP/MI/RCB),203,SK Raina (CSK/GL),10,AC Gilchrist,160,RA Jadeja (CSK/GL/Kochi/RR),10,0,,0,
